ASSETID,TEXT,language,municipio,distrito,barrio,habitaciones,baños,rooms_detected,area_detected,caracteristicas_detected,ubicacion_detected,precio_detected,caracteristicas,precio,area
A1581912965884126635,"Precioso piso totalmente reformado hace menos de un año. Todo con muy buenas calidades y buen gusto. La distribución es la siguiente: salón que da acceso a una gran terraza de 60m2; en sentido contrario nos encontramos el comedor al lado de la cocina perfectamente equipada y con electrodomésticos de alta gama(la cocina se quedaría así); en el pasillo encontramos un baño completo con ducha y continuando el pasillo está la habitación principal en suite con vestidor y baño incorporado; dos habitaciones con amplios armarios. Las ventanas son oscilobatientes, tiene techos altos y calefacción central. La finca tiene conserje. La plaza de garaje es de acceso directo.
El piso se encuentra muy bien ubicado al lado de un gran parque, con parada de autobuses y metro. Rodeado de todos los servicios necesarios de colegios, supermecados, restaurantes, comercios.",es,Madrid,Barrio de Salamanca,Goya,2.0,1.0,"['comedor', 'cocina', 'pasillo', 'baño', 'suite', 'vestidor', 'dos habitaciones']",[],['terraza'],"['parque', 'parada']",[],['terraza'],,
A5043297702308385635,"Buskpiso ofrece este coqueto piso para entrar a vivir con una reforma de menos de doce años. 

El salón dispone de grandes ventanales que lo inundan de luz por las mañanas. Las dos habitaciones son amplias y luminosas, dando a gran patio interior, ideal para un perfecto descanso. Ambas disponen de armarios empotrados de hechura reciente. La cocina, amueblada en un color blanco que nunca pasa de moda y bonito suelo de gres. El agradable cuarto de baño dispone de ducha de hidromasaje para relajar los músculos antes de ir al trabajo.

El piso dispone de suelo de parquet, ventanas con carpintería de climalit, terraza, caldera de menos de un año, aire acondicionado en las habitaciones y el salón.

Tiene alarma instalada.

Totalmente amueblado y listo para entrar a vivir.

Llámanos para hacer una visita.

",es,Madrid,Carabanchel,Puerta Bonita,2.0,1.0,"['dos habitaciones', 'cocina', 'cuarto de baño']",[],"['interior', 'armarios empotrados', 'hidromasaje', 'climalit', 'terraza', 'aire acondicionado', 'alarma']",[],[],"['armario empotrado', 'terraza', 'aire acondicionado']",,
A2832249778071661527,"Piso de 2 dormitorios (antes 3) en Moratalaz. Es un tercer piso con altura de segundo.
Tiene suelos de parquet, baños y cocina reformados, ventanas de aluminio abatibles y está recién pintado. La calefacción y agua caliente es individual con caldera de gas natural.
Dispone de trastero comunitario.
La casa da a zona peatonal, luminosa y tranquila, sin ruidos. Fácil aparcamiento en los alrededores. Todos los servicios a mano (colegios, supermercados, parroquia).
Buena comunicación por metro (Artilleros, línea 9), autobús (líneas 20, 30, 71, 100, 8, 63, 145 y N8) y coche (A3). Posibilidad de venderlo amueblado.

Interesante oportunidad en la zona, directamente de particular. Abstenerse agencias inmobiliarias.",es,Madrid,Moratalaz,Fontarrón,2.0,,"['2 dormitorios', 'cocina']",[],[],[],[],[],,
A18381001529049035155,"Precioso piso exterior y muy luminoso preparado para entrar a vivir, en una zona muy buena, ya que hay tres tipos de supermercados; día: debajo del piso, mercadona y carrefour market: a tres minutos andando. También hay colegios, tres grandes parques, con pistas de futbol y baloncesto. El piso está muy bien comunicado y muy cerca de plaza de Castilla. Acceso a la m-30, A6, M-40 y M-11 en 5 min.",es,Madrid,Fuencarral,Pilar,,,[],[],['exterior'],[],[],[],,
A16924955423708208673,"Vallecas, san diego. Avda de monte igueldo, buen piso totalmente exterior con terraza bordeando toda la casa, dormitorios amplios, para entrar a vivir, muy soleado, mejor ver. Precio impuestos no incluidos.",es,Madrid,Puente de Vallecas,San Diego,,,[],[],"['exterior', 'terraza']",[],[],['terraza'],,
A17876458202429015650,fantástico piso totalmente reformado en una de las calles más céntricas de barcelona.,es,Barcelona,Ciutat Vella,El Raval,,,[],[],[],[],[],[],,
A15789281985673828626,"Se vende piso para entrar a vivir, en Barcelona, Zona ROQUETES, de 71 M2 construidos con 2 balcones exteriores, luminoso, 2do Real sin ascensor, consta de salón comedor espacioso con salida a balcón con vistas al mar, 3 habitaciones (1 doble con balcón), altillo, una cocina cuadrada que da acceso a galería, suelos en terrazo y gres, carpintería aluminio al cobre, aire acondicionado en 2 estancias, puertas de haya, puerta Blindada. Se encuentra ubicado en una zona que le ofrece varios enlaces de transporte (línea de metro L3 roquetes a 5 minutos. Autobuses (V29-V27-11-27-N6-127), zonas comerciales y recreativas, bancos, supermercados, restaurantes y sitios educativos. Si desea un asesoramiento financiero para encontrar la mejor entidad bancaria a su perfil no dude en llamar ven a verlo sin ningún compromiso. ! HONORARIOS DE LA AGENCIA NO INCLUIDOS. descubre mas pisos exclusivos en.",es,Barcelona,Nou Barris,Les Roquetes,3.0,,"['comedor', '3 habitaciones', 'cocina']",['71 M2'],"['ascensor', 'aire acondicionado', 'puerta Blindada']",[],[],"['ascensor', 'aire acondicionado']",,71.0
A5656686440146314924,"Precioso piso recién reformado con las más altas calidades con dos balcones a la calle. Muy Luminoso. Grandes espacios. Bonita fachada de edificio. Cocina totalmente equipada con electrodomésticos de última generación. Todas las ventanas de climalit con doble aislamiento. 3 dormitorios y 2 baños, el principal on- suite. Gastos de comunidad: 86 €.",es,Madrid,Barrio de Salamanca,Fuente del Berro,3.0,2.0,"['Cocina', '3 dormitorios', '2 baños', 'suite']",[],['climalit'],[],['86 €'],[],86.0,
A4428409871855808193,"Ideal Inversión! -Magnifica Ubicacion. Vivienda rodeada de colegios, comercios, supermercados y zona comercial, Para de autobús en la puerta, a escasos minutos de estación de metro Línea 1 Villa de Vallecas. Primera planta, muy luminoso, consta de tres dormitorios, salon, cocina cuarto de baño y terraza.
Amplias posibilidades. 
Se recomienda Visitar.",es,Madrid,Villa de Vallecas,Casco Histórico de Vallecas,3.0,1.0,"['tres dormitorios', 'salon', 'cocina', 'cuarto de baño']",[],['terraza'],[],[],['terraza'],,
A18337205131665976493,"JUNTO A LA MODELO, bonito piso con 3 preciosas habitaciones, la doble con baño en suitte. Cocina completamente equipada, muy espaciosa con salida a galería. Tiene dos baños ( uno de ellos en suitte) en prefecto estado con gran plato de ducha y mampara nueva. Piso con amplio salón-comedor con unas vistas muy agradables y relajantes a un exterior y amplio patio de manzana. y además el piso cuenta con suelo de parquet, carpintería de aluminio en toda la vivienda, aire acondicionado e instalación de gas natural. Dispone de un amplio vestíbulo donde podrá colocar un gran armario. Finca completamente rehabilitada, de obra vista, con ascensor nuevo y con acceso a rampa. Piso en la mejor zona frente a la emblemática Modelo, junto metro líena azul y verde y a 5 minutos del tren de Sants Estació y de todas las líneas de autobuses de la ciudad. No pierda está gran oportunidad y podrá disfrutar de este precioso piso junto a su familia, le encantará por su gran distribución, por sus días soleados y por los encantadores vecinos que encontrará en esta comunidad. No dude en llamarnos para ir a visitarlo. Texto Actualizado ( El PVP indicado no incluye impuestos ni gastos de Escritura ).",es,Barcelona,Eixample,La Nova Esquerra de l'Eixample,,2.0,"['baño', 'Cocina', 'dos baños']",[],"['plato de ducha', 'exterior', 'aire acondicionado', 'ascensor']",[],[],"['aire acondicionado', 'ascensor']",,
